product;nomenclature;supplier
Сливки 33%;Сливки 33% 1кг, ГОСТ, TBA Edge, БЗМЖ, Брянский МК, Россия (КОД 19951) (О°С);Глобал Фудс
Сыр творожный;Сыр творожный 65% 2,4кг БЗМЖ Савушкин продукт Беларусь (КОД 53124);Глобал Фудс
Сыр творожный;Сыр творожный сливочный 60% 1кг пл.ведро Cream cheese "Чудское озеро" Лактис Россия (КОД 32909)(0°С);Глобал Фудс
Сыр Пармезан;Сыр Пармезан «Ricrem» 42% 6 мес ~2,5кг/блок БЗМЖ Molfino S-I-00101 Аргентина (КОД 36171) (0°С);Глобал Фудс
Пломбир ванильный;Мороженое Пломбир ванильн 15% 2,2кг/шт Стандарт ГОСТ БЗМЖ Айсберри-ФМ(ВМ-1817)(КОД 49851);Глобал Фудс
Шоколад галлеты молочный;Шоколад Молочный таблетки 5кг х 4шт пакет Sicao® CHM-DR-11929RU-R10 Россия (КОД 49120) (+18°С);Глобал Фудс
Шоколад галлеты темный;Шоколад Темный таблетки 5кг х 4шт пакет Sicao® CHD-DR-11Q11RU-R10 Россия (КОД 93844) (+18°С);Глобал Фудс
Драже с молочным шоколадом без ореха М&М;Драже M&Ms® с молочным шокол в разноцветн глазури 14х360 гр Россия (КОД 46732) (+18°С);Глобал Фудс
Хлеб тостовый белый;Хлеб тостовый пшеничный 12х12см,10 ломт/пач 8х450гр заморож Колибри Россия (КОР) (КОД 47411) (-18°С);Глобал Фудс
Багет;Багет французский 230гр/шт,30шт/кор,"Еврохлеб",Россия (КОД 47156) (-18°С);Глобал Фудс
Арахис соленый;Арахис жареный соленый 1кг/пакет Фуд Пак Россия (КОД 52706) (+18°С);Глобал Фудс
Миндальные лепестки;Миндаль резаный лепестками бланшир 1кг/упак АТКО Россия (КОД 53377) (+18°С);Глобал Фудс
Грецкий орех;Грецкий орех очищ половинки 1кг/пакет Фуд Пак Россия (КОД 52707) (+18°С);Глобал Фудс
Форель с/с - Семга с/с;Форель филе с/соль на коже ~0,7-1,3кг в/у  trimА ГРС Россия (КОД 53710) (-18°С);Глобал Фудс
Ветчина вареная;Ветчина из окорока ~3,8кг Ø120мм Микояновский МКТ Россия (010907) (КОД 11446) (О°С);Глобал Фудс
Куриная грудка филе;Куриное филе порц лоток ~1кг Наша Птичка Токаревская птицефабрика (м678) (КОД 53825) (-18°С);Глобал Фудс
Молоко 3,2%;Молоко 3,2% 0,9л;ТюменьМолоко
Сливки 10%;Сливки питьевые 10% 0,25кг Пюр-пак Першинское;ТюменьМолоко
Масло сливочное;Масло сливочное Крестьянское 72,5% 0,18кг Першинское;ТюменьМолоко
Сметана 15%;Сметана 15% 0,33 кг Ст. Першинское;ТюменьМолоко
Творог 9%;Творог 9% 0,45кг Пит-пак Першинское;ТюменьМолоко
Творог 0%;Творог обезжиренный 0,45кг Пит-пак Першинское;ТюменьМолоко
